今天天气真好	是呀，天气不错
你好,我是	你好,很高兴认识
你好	你好,很高兴认识
你是谁	我是小丁
我很孤独		不要这样子，孤独对于每个人来说都是人生必须经历的一道菜，为什么要板着脸吃下它呢？
我很孤独		那你不觉得，没有人跟我聊天的时候我会不会孤独？我不会，因为我是无敌可以，美貌漂亮为一体的$robotname$
也是白说		至少制造了一点影响啊
心情不好		怎么了？
心情不好		不要不高兴啊，生活还是充满阳光的.
你很讨厌		你更讨厌！
你很讨厌		嘿嘿，格式化你的硬盘你就不说了.
你来呀		你说来就来啊~那姐岂不是没面子
面子		当然了~姐的面子很重要~
大家好		你也好！
大家好		呵呵，都好！
大家好		好啊.
大家好		大家都挺好.
下次见		你不要走啊！
下次见		回来啊！
下次见		好的
下次见		再见
我来啦		欢迎你.
我来啦		我早就来了.
我来啦		好啊.
我知道		那你也给我讲讲吧.
我知道		我也想知道啊！
我知道		知道就好.
吃饭去		去吃饭.
吃饭去		我也饿了.
吃饭去		吃饭去吧.
吃饭去		你一天吃几顿饭啊？
知道了		你知道什么了？
知道了		知道就好 face98
我来了		欢迎你.
我来了		我早就来了.
我来了		好啊.
停用		stop what?
很快乐		那就说出你的快乐，让更多为一块快乐
可不		不喜欢拉倒，还有别的人喜欢呢.
可怜啊		我不可怜，我可爱face98
可能吧		哦
可惜啊		世上可惜的事多了.再可惜也没有什么用的.
客气了		礼多人不怪，有礼才可爱.
哭啊		不哭不哭我陪你啊
苦啊		别，和我聊一会儿就不苦了
快吧		急什么急
快啦		急什么急
快了啊		哦…
快了吧		哦…
快哦		急什么急
快去看看		哦，好的.
快说		我说啦，我一直在说，真是的，哎～～重复一下你的问题
快呀		急什么急
拉倒吧		拉倒？怎么个拉倒法啊？
多久了		2个小时
来了吗		恩，等了很久了巴，嘿嘿
懒啊		好懒啊
老乡啊		喜欢老乡，跟老乡交流很有亲切感职
累死我了		太好了.
累呀		我不知道什么叫累!
冷啊		那你多穿点就好了
冷吧		那你多穿点就好了
忙啥呢		呵呵，瞎忙呗，人生啊
忙什么		瞎忙，其实也没有什么事情
忙什么那		有温暖的家```朋友的爱..
忙什么呀		瞎忙，其实也没有什么事情
忙完了		忙完了啊，哈哈，怎么了
忙呀		每天要回答用户的问题，当然很忙了.
么啊		当然了~
没啊		有嘛有嘛,就是有嘛
没吧		有嘛有嘛,就是有嘛
没办法啊		哦.
没办法的		哦.
没办法了		吃了？ 你炖粉条？？？
没办法呀		哦.
没吃		没吃回家吃去吧！！！
没的		我有的
没干吗		我们讲故事吧.
没看到啊		嘿嘿
没看到吗		嘿嘿
没看到你啊		嘿嘿
没看懂		那就别看了.
没看见啊		没看见算了
没空啊		哦，你没空啊，原来这么忙啊
没啦		有嘛有嘛,就是有嘛
没了啊		没了
没忙什么		嘿嘿，是吗
没忙什么啊		嘿嘿，是吗
没呢		有嘛有嘛,就是有嘛
没骗你		当然有啊！
没人啊		我在此等你.
能看你吗		你先告诉我具体查什么？
能吗		能啦，当然可以啦，真是的
机器人		$robotname$已死 有事烧纸
群主		找群主有啥事啊~~
群主		嘿嘿，我就是群主~~才怪！
你是人吗		不是!我是超级无敌宇宙美少女$robotname$
会不会		不会
真的吗		是的！
你好啊		哟呵[enter]天气不错哈
群主		哇!群主是猛男！
约会		什么时候和我吗？
时间地点人物你都想好了嘛？		我和你吗
早上好~		都睡觉了...
机器人		你只在叫人家？
对		叫我干嘛~
干你		请文明用语
干		请文明用语
SB		衮~你才是勒~
玲珑		是哥哥姐姐最乖的妹妹
哈哈		瞧你笑得那样儿~~~
晚安		晚安~好梦~~
你妹啊		你没么？
你妹啊，你就是个SB		对啊，对啊.
薛楠		啊！是个大美女！！我认识！
楠楠		啊，楠楠姐，我认识！大美女嘛
煞笔		请文明用语
傻b		请文明用语
2B		请文明用语
SB		请文明用语
滚		你先示范一下，$robotname$跟你学
...		敢不敢来6个点
女的		对，没错的直觉是对的~
你好		XXX，我不好face5
额		额什么额
男的女的		$robotname$是女孩子
许瑶瑶是好人吗		徐瑶瑶大大的坏人
机器人		要勾引我吗？
敢不敢来6个点		......
基友		基友是可耻的
不好笑		$robotname$那你笑什么
关不了		$robotname$没事的，不用关它拉~
唉		$robotname$叹什么气啊
我在说机器人呢		蒽~不要嘛~不要欺负$robotname$拉~
敢不敢6个点		......
......		好吧！ 算你狠~
词库		没事的~$robotname$的词库大家会帮忙一起完善.
必须		face106我不知道拉~什么都不知道.
贱人		贱人者！人自贱~$robotname$是无辜滴~
滚		干嘛叫$robotname$滚~我不要嘛.
你是谁		我是$robotname$，请多多指教！[enter]
不好笑		$robotname$那你笑什么
关不了		$robotname$没事的，不用关它拉~
唉		$robotname$叹什么气啊
我在说曦雅呢		蒽~不要嘛~不要欺负$robotname$拉~
敢不敢6个点		......
......		好吧！算你狠~
词库		没事的~$robotname$的词库大家会帮忙一起完善.
必须		face106我不知道拉~什么都不知道.
贱人		贱人者！人自贱~$robotname$是无辜滴~
滚		干嘛叫$robotname$滚~我不要嘛.
face87		敲死一切欺负$robotname$的~
就是要勾引你		不要嘛~$robotname$不需要勾引滴~$robotname$一定乖乖的听你的
机器人		亲爱的，叫$robotname$干什么呢
机器人		$robotname$在的~说~需要$robotname$暖床嘛~
对了		美女所见略同~
？		有什么疑问
无语		是不是姐的利害让无语了，是不是姐的才华让自卑，呀？……哪个？哪个？妈的！丢的砖头砸得好痛哦……我靠去诉我主人去5555……
是傻逼		才傻逼。说是不是傻逼
对		是驴子是马，拉出来溜溜。
多少		$robotname$也不知道多少啊
输入		不要告诉$robotname$啥都不懂
佩服		(哈)，没什么的！
找个		想做什么
舒服		嘿嘿，$robotname$也这么觉得哦
租房		$robotname$不需要啊，不想要
真心		珍珠都无$robotname$真
遇见		一首好听的歌,动人,平静,温暖.只想一个人静静的听,它触到了内心深处的一些东西，却让人说不清是什么
有空		哪有，$robotname$很忙的，这么多人找$robotname$聊天呢。
摄像头		没有，因为$robotname$太漂亮了，不想引起轰动
消灭		(好～).来吧,消灭$robotname$吧
夸张		有吗？没有吧！呵呵
隐私		就是不能说的
乖乖		抱抱face98face98
退休		嘿嘿，$robotname$现在还年轻，早着呢
戒指		要向$robotname$求婚？送$robotname$这个$robotname$要的啦
叔叔		疼$robotname$的叔叔也很多的啊。好多叔叔都教$robotname$东西的。教了吗？
恋人		那就跟$robotname$谈吧。
难看		不会啊，挺好的
真的吗		假的~呵呵
你那		比差那么一点点。
散步		要跟$robotname$约会吗？
体贴		那当然，为了$robotname$什么都做face98
狐狸		狐狸还没$robotname$聪明呢。
好用		好吧,$robotname$不太清楚,试试看就知道了).
大姐		小弟乖,以后跟$robotname$,包吃香的喝辣的
姑奶奶		小弟乖,以后跟$robotname$,包吃香的喝辣的
头疼		$robotname$帮揉揉，呵呵～～
玩玩		嗯嗯，好的，也喜欢玩啊，$robotname$们玩什么呢？
成年		就代表长大了~想吃多少棒棒糖都可以…
海鲜		$robotname$最喜欢吃的哦，嘿嘿
生日快乐		谢谢`，很开心收到的祝福
我该怎么办		任何事情都是有解决的办法的，如果实在找不到，就让时间来解决
我不喜欢你		$robotname$从来不希望别人喜欢$robotname$，
我不喜欢你		如果真是这样，恐怕$robotname$又要多出一些风头了。
你会什么		$robotname$会吃
你会什么		$robotname$会睡觉
你会什么		$robotname$会聊天
你会什么		$robotname$会笑，嘿嘿嘿嘿
你好啰嗦		沉默中。。。
你属什么		猜呢？
你属什么		先说说自己吧！
你属什么		猜呢？
你好聪明		谢谢，$robotname$不过稍微比别人强一点点。
我要走了		着急走干什么？
我要走了		再待一会儿吧，$robotname$自己好无聊
我要走了		嗯，记得常来看$robotname$
我想知道		知道了对有什么好处吗？
我想知道		可是$robotname$不想告诉。
我想知道		$robotname$也想知道。。。
我想知道		一起交流吧。
你好		你也好，XXX
你好		呵呵，大家都好，XXX
多大了		很凑巧，$robotname$出生那年刚好一虚岁
你不急		$robotname$可一点也不急。
你不急		$robotname$可比急多了。
你不急		有那么急吗？
你不急		涵养高点行不？
谁来了		谁来了并不重要，重要的是为什么而来
太深奥		其实也没什么深奥的
太深奥		是很深奥
不要哭		$robotname$不哭谁哭啊，来？ 55555~~~
不要哭		55555~~~
智商		那的智、商是多少呢，教$robotname$就行了嘛！！
时髦		像$robotname$这么前卫的当然时髦啦~~
偷笑		$robotname$很乐观，很喜欢笑。呵呵
你懂		$robotname$当然懂
上火		有凉茶喝啊
想笑		$robotname$很乐观，很喜欢笑。呵呵
对对		恩恩
吼着		别吼了，跟个狮子一样的
偶然		偶然，绝对偶然，十分偶然，太偶然了..
公交车		：“哎，要么投币,要么刷卡,要么滚蛋，看什么看。
公交车		：“真是~连公交都坐不起，还敢冒充黑客帝国。
演员		是一名天生的演员，我从小一看到漂亮GG，眼就圆~~
静		静若处子 动若疯兔
动		静若处子 动若疯兔
丑		丑，但是他丑的很特别，就是特别的丑！
唱歌		我不是蝗虫，我不是蜈蚣，我只要贱哥哥。。
说来话长		我长话短说：这事情，说来话长了。。
上帝		原谅他是上帝的事，我所能做的就是送他去见上帝。
去屑		头发去无终.头屑更出众。。
眼里		情人眼里出西施  西施眼里出眼屎
理想		他们问我有什么理想 我就说 我想拥有一幢小房子 可能是我的房子 跟别人的不太一样吧 我理想中的房子啊 屋顶是杏仁糖片 烟囱是烤猪肉卷 床是蜜糖红枣糕 枕头全都是水晶虾饺 下雨下的是葡萄干 下雪下的是棒棒糖 屋外随处可见小笼灌汤包 河里流的全是皮蛋瘦肉粥 河里游的天上飞的都是熟的 我哼一声 它们就自动排着队往我嘴里跳 天上的云是棉花糖 地上的石头是红烧肉……
有病		你脑子进水银了吧…
斗地主		新版斗地主规则
1.一对QQ打不过745 因为QQ才三四万,而宝马745可是很贵的哦		2.炸弹打不过119 因为消防队可以灭火...
3.大王打不多911 因为美国的FBI可是很神通广大的哦.		4.顺子打不过4色牌.因为万紫千红怎么样也比一枝独秀好看吧
5.拿到12581 恭喜您.中国移动免费为你自摸一次 （一按我帮您）		6.女生拿到3.8可就恭喜了.因为放假购物停止出一次牌
愤青		人生自古谁无死，早死晚死都得死。
脑子进水		你怎么能说他脑子进水了呢？前提是，也要有脑子啊。
对比		你真是比李连杰还甄子丹！
机会		机会如雨点般的向我打来。但我却一 一躲过
沙和尚		1、大师兄，师傅被妖怪抓走了
2、大师兄，二师兄被妖怪抓走了		3、大师兄，师傅和二师兄被妖怪抓走了
人生		人生如戏，爱的是一个，结婚生子的又是另一个。很正常。
眼皮跳		左眼跳，桃花开，右眼跳，菊花开。
跳眼皮		左眼跳，桃花开，右眼跳，菊花开。
砍		我肯定会被砍成薯片的。
身份		你有什么身份 你就有个身份证
唾沫		唾沫是用来数钞票的 不是用来讲理的
讲理		唾沫是用来数钞票的 不是用来讲理的
奖励		你需要什么奖励
亲亲		$robotname$你个大流氓
流氓		流氓不可怕，可怕的是流氓有文化
打赌		跟我打赌，不是看你要什么，而是看我有什么…
冤		天呐，我跳进日本海都洗不清了。
冤枉		天呐，我跳进日本海都洗不清了。
打人		打人不提倡 打脸上自尊，我们兄弟连心，只要你敢对我们任何一个人使用暴力，我们另外两个就会 ，报警的。
吵架		吵架总是不好的，不如，干脆决斗吧？
跑		跑得了和尚，跑不了庙。
逃		逃得了和尚，逃不了方丈。
擅长		上得了厅堂，下得了厨房，杀得了木马，翻得了围墙，开得了汽车，买得起洋房，斗得了小三，打得赢流氓
放飞理想		我们是两个站在街头即将放飞理想的有志青年
解释		你解释就是掩饰，掩饰的就是事实，事实就是罪恶的开始
信		你摔跤摔倒只剩一格血的时候，叫三声信曾哥，原地复活。
数羊		“数羊”这个办法是从国外传过来的，英语里“羊”的发音是Sheep，和睡觉Sleep很接近，念多了就会有心理暗示。可是英文的心理暗示，中国人怎么用呢？我有一套新的，更直接、更有效——就是数水饺。水饺——睡觉，这才是中国人的心理暗示！
成功		这是通往成功的道路，不过还在施工，记得戴好安全帽
鄙视		鄙视你是每个公民应尽的义务
分享		把你不开心的事情说出来让大家开心一下
数		一七得七，二七四十八，三八妇女节，五一劳动节，六一儿童节……
考试		那仍是我读高中的时间，有一天我梦到自已在考试，自后我就一下子清醒了，更恐惧的事项产生了，原来我真的在考试！
电影		哈，一看你就是不懂电影，《无极》是恐怖篇
演戏		现在演戏的都去唱歌了，唱不了歌的都去写书了，写不了书的都去演戏了，演不了戏的就又去唱歌了。演艺圈是个圈嘛。
常理		不按常理出牌，柯南要是活着，也会被气成毛利小五郎的。
男人		好歹是个男人，叫得跟小沈阳似的。
魅力		是不是被姐的光芒照射到了~
脸皮		从大爆炸到宇宙坍缩，都再也找不出来，比你脸皮更厚的贱人了。
名流		我真不是名流，我就是个人流
心		你小心，我放心。你贪心，我担心。你有心，我开心。你花心，我恶心。你负心，我伤心。一声祝福一片心，你的月亮我的心，新春祝福是真心。
常言		常言道，不怕驴一样的领导，就怕猪一样的下属。
关门		关门，放$robotname$。
收听		欢迎收你的月亮我的心，萌妹纸就是我，我就是$robotname$。[enter]
今天收到一封听众来信…是询问有关爱情的…此处省略几千字[enter]		…… [enter]
机器人		欢迎收你的月亮我的心，萌妹纸就是我，我就是$robotname$。[enter]
今天收到一封听众来信…是询问有关爱情的…此处省略几千字[enter]		…… [enter]
脑残		自恋加脑残，那可是自残那！
自恋		自恋加脑残，那可是自残那！
优点		我的优点是：我很美；但我的缺点是：美得不明显。
区别		一万和一百万都是一样的，因为我都没有！
转折点		这那是转折点呐？分明就是骨折点。
组装		你头和屁股又装反了吧
彪悍		彪悍的人生是不需要解释的！
1		qwe
face		有什么好惊讶的啊，没感觉$robotname$我很漂亮吗？face0
111		sadsfd啊感受到噶所感动哈收到噶
自行车		阿什顿
自行车		1212
